Name,DOE Criticality Rating Tier,Business Unit
000 No Application ,4 - Business Preferred,Compliance
Absence and Appeals ,3 - Business Support,Compliance
Absent Teacher Reserve Case Management system (ATR) ,3 - Business Support,Compliance
Admin Building SSP ,3 - Business Support,Compliance
Administrative Trial Unit (ATR) ,4 - Business Preferred,Compliance
Administrative Trial Unit (ATU) ,4 - Business Preferred,Compliance
After School Professional Development ,3 - Business Support,Compliance
After School Professional Development (ASPDP) ,3 - Business Support,Compliance
Appeals and Grievances (AGS) ,3 - Business Support,Compliance
Automated Student Health Record System (ASHR) ,3 - Business Support,Compliance
Backtrack (DSF Inventory) ,4 - Business Preferred,Compliance
Bloodborne Pathogen - Internet (BBP) ,3 - Business Support,Compliance
Bloodborne Pathogen - Intranet (BBP) ,3 - Business Support,Compliance
Bully Reporting ,3 - Business Support,Compliance
Calendar Change Request application (CCR) ,4 - Business Preferred,Compliance
Charter/Third Party Work Approval (CTP) ,4 - Business Preferred,Compliance
Charter/Third Party Work Initial Request (Intranet) ,4 - Business Preferred,Compliance
Charter/Third Party Work Initial Request Approval (Internet) ,4 - Business Preferred,Compliance
Compliance ,4 - Business Preferred,Compliance
Consultant Control (CONS) ,4 - Business Preferred,Compliance
Cooling Tower (CTIS) ,4 - Business Preferred,Compliance
COVID Tracker (CTS) ,3 - Business Support,Compliance
CPU Intake (CPU) ,3 - Business Support,Compliance
Custodian Satisfaction Survey Application (CSS) ,4 - Business Preferred,Compliance
Custodian Time Tracking System (CTTS) ,4 - Business Preferred,Compliance
DDF Ratings ,3 - Business Support,Compliance
Dimensions RM ,3 - Business Support,Compliance
Dist 79 SSP ,3 - Business Support,Compliance
DOE ALL Stars ,3 - Business Support,Compliance
DSF AC Application (A/C) ,4 - Business Preferred,Compliance
DSF Applications Administration System (AAS) (Internet) ,4 - Business Preferred,Compliance
DSF Boiler Tracking ,3 - Business Support,Compliance
DSF Certification Status ,4 - Business Preferred,Compliance
DSF Content Management System (CMS) ,4 - Business Preferred,Compliance
DSF Custodian Rating ,4 - Business Preferred,Compliance
DSF Dust Mop Services System ,4 - Business Preferred,Compliance
DSF In-House App Server ,3 - Business Support,Compliance
DSF Outdoor Yard (Intranet) ,4 - Business Preferred,Compliance
DSF Paint ,3 - Business Support,Compliance
DSF Roof (Intranet) ,4 - Business Preferred,Compliance
DSF Violation ,4 - Business Preferred,Compliance
Early Intervention Document Transfer System (EIDTS) ,3 - Business Support,Compliance
Election Notification System ,4 - Business Preferred,Compliance
Emergency Contact (EC) ,4 - Business Preferred,Compliance
Facility Information System (FIS) ,4 - Business Preferred,Compliance
Fuel Application (Intranet) ,4 - Business Preferred,Compliance
General Audit Case Management ,3 - Business Support,Compliance
General Practice Unit (GPU) ,3 - Business Support,Compliance
Health Screening ,2 - Business Essential,Compliance
Inspection Module ,4 - Business Preferred,Compliance
Lead Paint ,4 - Business Preferred,Compliance
Mental Health Provider System ,3 - Business Support,Compliance
Motorized Partition Survey (MPS) ,4 - Business Preferred,Compliance
MyCube ,3 - Business Support,Compliance
Office of General Counsel (OGC) ,3 - Business Support,Compliance
Office of Legal Service (OLS) ,3 - Business Support,Compliance
Office of Safety and Youth Development Portal (OSYD) ,3 - Business Support,Compliance
Office of Special Investigation (OSI) ,3 - Business Support,Compliance
OLS Reports ,3 - Business Support,Compliance
Online Occurrence Reporting System (OORS) ,3 - Business Support,Compliance
Paint Film Inspection-Lead Paint Survey (LPS) ,4 - Business Preferred,Compliance
Parent University (ParentU) ,3 - Business Support,Compliance
Parking Permit ,3 - Business Support,Compliance
Passport Material Request App ,3 - Business Support,Compliance
PassPort Portal J ,3 - Business Support,Compliance
Playground Survey ,4 - Business Preferred,Compliance
Principal Review ,3 - Business Support,Compliance
Principals SST ,3 - Business Support,Compliance
Proceed Order Tracking System (PO) ,4 - Business Preferred,Compliance
Professional Development (PD) ,3 - Business Support,Compliance
PTA ,3 - Business Support,Compliance
PTA Admin ,3 - Business Support,Compliance
Registration ,4 - Business Preferred,Compliance
Reset Custodian SQL Password ,4 - Business Preferred,Compliance
Reset DSF Staff SQL Password ,4 - Business Preferred,Compliance
Room Assessment ,3 - Business Support,Compliance
School Consolidated Plan (CPLAN) ,3 - Business Support,Compliance
School Parent Leader Contact Information System (SPLCIS) ,4 - Business Preferred,Compliance
School Safety Plan (SSP) ,3 - Business Support,Compliance
SchoolStat ,4 - Business Preferred,Compliance
SDI Issue Log ,4 - Business Preferred,Compliance
Summer School SSP ,3 - Business Support,Compliance
Supervisor Site Visit (SSV) ,4 - Business Preferred,Compliance
Suspensions and Office of Hearings Online (SOHO) ,3 - Business Support,Compliance
Teacher Performance Unit (TPU) ,4 - Business Preferred,Compliance
UPK SSP ,3 - Business Support,Compliance
Vaccine Portal ,2 - Business Essential,Compliance
VLAN Network Change Request (TIS) ,3 - Business Support,Compliance
Water Flushing ,4 - Business Preferred,Compliance
Wireless Client Configuration Tool (WCC) ,3 - Business Support,Compliance
Absenteeism (OSYD) ,0 - Tier 0,CTO Apps
AD assessment,0 - Tier 0,CTO Apps
AD Resiliency Presidio jumpbox,0 - Tier 0,CTO Apps
ADFS ,0 - Tier 0,CTO Apps
Alchemy License and Acronis,0 - Tier 0,CTO Apps
Ansible - POC,0 - Tier 0,CTO Apps
Apple School Manager ,0 - Tier 0,CTO Apps
ARC GIS (CTO) ,0 - Tier 0,CTO Apps
Asset Management System (AMS) ,0 - Tier 0,CTO Apps
AssetGEN ,0 - Tier 0,CTO Apps
Assyst ,0 - Tier 0,CTO Apps
AVI ,0 - Tier 0,CTO Apps
AVI Load Balancers ,0 - Tier 0,CTO Apps
AVS ,0 - Tier 0,CTO Apps
Azure Active Directory Connect ,0 - Tier 0,CTO Apps
BIG-IP,0 - Tier 0,CTO Apps
Blackberry Enterprise ,0 - Tier 0,CTO Apps
Building Management System (BMS) ,0 - Tier 0,CTO Apps
Caliber ,0 - Tier 0,CTO Apps
Central Bandwidth (Cacti) ,0 - Tier 0,CTO Apps
Certificate Authority OSSS ,0 - Tier 0,CTO Apps
Cherwell Management System (Cherwell) ,0 - Tier 0,CTO Apps
CIFS Anti Virus ,0 - Tier 0,CTO Apps
Cisco Fabric Manager ,0 - Tier 0,CTO Apps
Cisco Identity Service Engine 2.7 ,0 - Tier 0,CTO Apps
Cisco ISE - Armis Security ,0 - Tier 0,CTO Apps
CLIQ ,0 - Tier 0,CTO Apps
Cloudlink ,0 - Tier 0,CTO Apps
Data Domain ,0 - Tier 0,CTO Apps
Dell Secure Gateway Connect ,0 - Tier 0,CTO Apps
DHC Exchange ,0 - Tier 0,CTO Apps
DHCP,0 - Tier 0,CTO Apps
DNS Servers ,0 - Tier 0,CTO Apps
Domain Controllers (ADDS),0 - Tier 0,CTO Apps
DSF File Shares ,0 - Tier 0,CTO Apps
Dynamic Forms System (DFS) ,0 - Tier 0,CTO Apps
Efficient IP IPAM ,0 - Tier 0,CTO Apps
EMC Recovery Point ,0 - Tier 0,CTO Apps
EMC Secure Remote Support (ESRS) ,0 - Tier 0,CTO Apps
Esker Fax Servers ,0 - Tier 0,CTO Apps
ESO Management Tools ,0 - Tier 0,CTO Apps
Exchange ,0 - Tier 0,CTO Apps
File Migration ,3 - Business Support,CTO Apps
Govern Lan ,0 - Tier 0,CTO Apps
Helpdesk/Service Desk ,0 - Tier 0,CTO Apps
Horizon 7 ,0 - Tier 0,CTO Apps
Infrastructure / JumpBox ,0 - Tier 0,CTO Apps
Insight VM Rapid 7 ,0 - Tier 0,CTO Apps
Integration Runtime ,0 - Tier 0,CTO Apps
Intune ,0 - Tier 0,CTO Apps
